country,countryISO,population,surfaceArea,,giniIndex,happyPlanetIndex,humanDevelopmentIndex,worldHappinessReportScore,sustainableEconomicDevelopmentAssessment,,gdp,gdpPerCapita,gdpGrowth,healthExpenditureShareOfGDP,healthExpenditurePerPerson,educationExpenditureShareOfGDP,educationExpenditurePerPerson,schoolLifeExpectancy,percentUnemployed,governmentSpendingScore,governmentExpenditureShareOfGDP,,politicalRightsScore,civilLibertiesScore,politicalStabilityScore,governmentEffectivenessScore,regulatoryQualityScore,ruleOfLawScore,controlOfCorruptionScore,judicialEffectivenessScore,governmentIntegrityScore,propertyRightsScore,taxBurdenScore,economicFreedomScore,financialFreedomScore,percentWomenMP
"Gambia, The",GMB,2100000,10120,,50.2,NA,0.46,NA,NA,,3.4,1667,4.4,6.6,NA,NA,NA,9,29.7,74,29.4,,4,5,NA,NA,NA,NA,NA,38.8,36.8,34.4,71.9,52.3,50,10.3
Georgia,GEO,3700000,69700,,40.1,31.1,0.78,4.45,55.4,,37.2,10044,2.8,7.9,718,NA,NA,15,11.6,73.3,29.8,,3,3,-0.37,0.6,1.1,0.33,0.74,64.2,61.8,62.8,87,76.2,60,16
Germany,DEU,83000000,348672,,27,29.8,0.936,7.07,79.6,,3980.3,48111,1.5,11.2,5357,4.9,2369,17,4.3,41.3,44.2,,1,1,0.58,1.7,1.8,1.61,1.84,78,75.3,81,61.3,74.2,70,37
Ghana,GHA,29000000,227533,,42.3,21.4,0.592,5.48,40.2,,121.7,4412,3.5,5.9,249,6.2,89,12,5.8,79,26.5,,1,2,0.09,-0.1,-0.1,0.13,-0.23,43.7,32.9,48.9,83.5,56,60,12.7
Greece,GRC,11000000,130647,,36.7,23.6,0.87,5.15,64.1,,289.4,26669,-0.2,8.4,2204,NA,NA,18,23.9,20.9,51.3,,2,2,-0.13,0.3,0.2,0.08,-0.14,59,37.9,52.3,60.4,57.3,40,18.3
Grenada,GRD,108000,344,,NA,NA,0.772,NA,NA,,NA,NA,NA,5,677,NA,NA,17,NA,NA,NA,,1,2,1.03,-0.2,-0.1,0.44,0.48,NA,NA,NA,NA,NA,NA,33.3
Guatemala,GTM,17000000,107159,,53,34.2,0.65,6.33,42.5,,131.7,7899,4,5.7,444,2.9,108,11,2.4,95.3,12.5,,4,4,-0.57,-0.6,-0.3,-1.06,-0.74,33.1,27.3,40.4,79.2,63.4,50,12.7
Guinea,GIN,13000000,245717,,39.4,NA,0.459,4.87,28.3,,16,1265,0.1,4.5,57,2.4,18,9,6.8,80.6,25.4,,5,5,-0.61,-1,-0.8,-1.23,-1.01,28.2,26.9,32.4,65.9,52.2,40,21.9
Guinea-Bissau,GNB,1700000,28120,,NA,NA,0.455,NA,NA,,2.9,1730,4.8,6.9,100,NA,NA,NA,6.5,85.6,21.9,,5,5,-0.6,-1.8,-1.2,-1.44,-1.56,53.5,27.3,31.1,86.4,56.9,30,13.7
Guyana,GUY,800000,196849,,44.6,NA,0.654,NA,42.8,,6,7873,3,4.5,336,NA,NA,10,11.4,70.8,31.2,,2,3,-0.04,-0.3,-0.4,-0.29,-0.51,42.5,34.8,42.1,68.4,58.7,30,31.9
Haiti,HTI,11000000,27560,,60.8,28.6,0.498,3.82,24.2,,19.4,1784,1,6.9,120,NA,NA,NA,13.2,85.6,21.9,,5,5,-0.7,-2.1,-1.3,-1.09,-1.24,42.5,24.6,25.1,80.1,55.8,30,2.5
Honduras,HND,9000000,111890,,47.1,27.2,0.617,6.02,41.9,,43.2,5272,3.6,7.6,353,NA,NA,11,6.3,76.6,27.9,,4,4,-0.55,-0.5,-0.4,-1.05,-0.72,34.5,28.2,44.3,82.8,60.6,60,25.8
Hungary,HUN,10000000,89608,,28.2,26.4,0.838,6.07,66.1,,270.3,27482,2.9,7.2,1912,4.6,658,15,5.2,29.4,48.5,,3,2,0.81,0.5,0.7,0.53,0.09,57.1,36.4,57.6,78.6,66.7,70,10.1
Iceland,ISL,300000,100250,,28,31.1,0.935,7.48,83.7,,16.5,49136,4,8.6,4116,NA,NA,20,3.8,44.2,43.1,,1,1,1.37,1.5,1.4,1.61,1.84,72.6,77.3,86.7,72.1,77,70,47.6
India,IND,1339000000,2973193,,35.2,29.2,0.64,4.05,40,,8662.4,6616,7.3,3.9,238,NA,NA,12,3.5,77.7,27.3,,2,3,-0.83,0.1,-0.3,0,-0.24,54.3,47.2,55.4,79.4,54.5,40,11.8
Indonesia,IDN,264000000,1811569,,36.8,35.7,0.694,5.1,46.4,,3032.1,11720,4.8,3.3,369,3.3,115,13,5.6,90.7,17.6,,2,4,-0.51,0,-0.1,-0.35,-0.25,45.2,42.8,49.3,83.7,64.2,60,19.8
Iran,IRN,81000000,1531595,,44.5,24,0.798,4.72,48,,1454.5,18078,0,7.6,1262,2.8,155,15,11.3,91.1,17.2,,6,6,-0.93,-0.2,-1.2,-0.68,-0.81,35.3,32.6,32.5,81,50.9,10,5.9
Iraq,IRQ,38000000,437367,,NA,26.5,0.685,4.46,37,,647.2,17944,2.4,3.4,481,NA,NA,NA,16,45.4,42.7,,5,6,-2.33,-1.3,-1.2,-1.64,-1.37,11.4,23.4,36.7,NA,NA,NA,25.3
Ireland,IRL,4700000,68883,,31.3,30,0.938,7.06,80.3,,324.9,69231,7.8,7.8,5335,NA,NA,19,8.1,69.6,31.9,,1,1,1.02,1.3,1.6,1.43,1.55,79,79,87.7,76.1,80.4,70,22.2
Israel,ISR,9000000,20330,,42.8,28.8,0.903,7.33,66.5,,300.6,35179,2.6,7.4,2819,5.7,2154,16,5.6,51.8,40.1,,1,3,-0.88,1.4,1.3,1.02,0.83,83.1,61.2,78.2,60.9,72.2,70,27.5
Italy,ITA,61000000,294140,,31.9,28.1,0.88,6.2,69.1,,2234.5,36833,0.8,9,3351,4.1,1443,16,11.5,24.1,50.3,,1,1,0.24,0.5,0.7,0.32,0.19,60.9,40.1,71.2,55.2,62.5,50,31
Jamaica,JAM,2800000,10831,,35,36.9,0.732,5.89,49.7,,25.4,8976,1.1,5.9,511,6,292,NA,13.3,77.2,27.6,,2,3,0.25,0.5,0.1,-0.16,-0.17,56.6,39.4,60.9,80,69.1,50,17.5
Japan,JPN,127000000,364485,,37.9,28.3,0.909,5.91,75.2,,5237.8,41275,0.5,10.9,4405,3.6,1368,15,3.1,54.1,39.1,,1,1,1.12,1.6,1.4,1.57,1.52,73.2,79.2,86,67.4,72.3,60,9.3
Jordan,JOR,10000000,88802,,39.7,NA,0.735,4.81,48.7,,85.6,12278,2.5,6.3,568,NA,NA,13,13.2,69.4,32,,5,5,-0.53,0.1,0.1,0.26,0.26,57.3,51.9,57.6,92.4,64.9,60,15.4
Kazakhstan,KAZ,18000000,2699700,,26.3,19.1,0.8,5.88,57.7,,451.3,25145,1.2,3.9,903,NA,NA,15,5.2,85.3,22.2,,7,5,0.02,0,0.2,-0.41,-0.82,58.1,44.6,56,92.6,69.1,50,27.1
Kenya,KEN,50000000,569140,,48.5,24.2,0.59,4.48,35.4,,152.8,3361,5.6,5.2,157,5.3,70,11,11,77.5,27.4,,4,4,-1.08,-0.3,-0.2,-0.41,-0.96,44,27.5,47.9,78.5,54.7,50,21.8
Kiribati,KIR,100000,811,,NA,NA,0.612,NA,NA,,0.2,1823,4.2,7.6,152,NA,NA,12,NA,0,117.6,,1,1,0.9,-0.3,-0.8,0.53,0.39,35.3,37.9,45,72.4,50.8,30,6.5
Korea (Dem. People’s Rep.),PRK,25000000,120408,,NA,NA,NA,NA,NA,,15.1,NA,1,NA,NA,NA,NA,11,4.3,0,NA,,7,7,-0.48,-1.7,-2.3,-1.71,-1.48,5,25.2,29.8,0,5.8,0,16.3
Korea (Rep.),KOR,51000000,96920,,35.7,24.8,0.903,5.87,NA,,1934,37740,2.6,7.4,NA,5.1,1406,17,3.7,68.8,32.3,,2,2,0.29,1.1,1.1,1.16,0.48,63.7,49.9,79.4,73.3,73.8,70,17
Kosovo,NA,1900000,10887,,23.2,NA,NA,6.15,NA,,18.4,9600,3.3,NA,NA,NA,NA,NA,NA,77.9,27.1,,3,4,-0.21,-0.4,-0.1,-0.42,-0.5,59,45.4,52.3,93.2,66.6,30,NA
Kuwait,KWT,4200000,17818,,NA,NA,0.803,6.09,65.7,,303.7,71887,0.9,4,2978,NA,NA,13,2.4,20.5,51.5,,5,5,-0.04,-0.2,-0.1,0.1,-0.33,53.5,36.6,52,97.7,62.2,60,3.1
Kyrgyzstan,KGZ,6000000,191801,,33.4,33.1,0.672,5.63,45.4,,21.5,3521,3.5,8.2,287,5.5,71,13,7.7,58.2,37.3,,5,5,-0.43,-0.7,-0.4,-0.93,-1.05,22.1,29.4,50.2,93.8,62.8,50,19.2
Laos,LAO,7000000,230800,,36.7,NA,0.601,4.62,37.8,,40.9,5710,7,2.8,NA,2.9,59,11,1.5,79.3,26.3,,7,6,0.43,-0.4,-0.7,-0.88,-0.94,41.4,33.1,34.1,86.7,53.6,20,27.5
Latvia,LVA,2000000,62249,,34.5,17.1,0.847,6.09,66.1,,50.6,25710,2.7,5.8,1429,5.3,828,16,9.9,59,37,,2,2,0.46,0.9,1.2,0.93,0.54,58.9,45.4,68.3,84,73.6,60,16
Lebanon,LBN,4600000,10230,,NA,21.9,0.757,5.15,44.8,,85.2,18525,1,7.4,1117,NA,NA,11,6.8,78.2,26.9,,6,4,-1.59,-0.5,-0.3,-0.82,-1,33.6,20.2,39.7,91.9,53.2,50,3.1
Lesotho,LSO,1900000,30355,,63.2,16.7,0.52,NA,29.5,,7,3601,2.5,8.4,251,NA,NA,11,27.4,23.8,50.4,,3,3,-0.25,-0.9,-0.3,-0.27,-0.03,52.7,32.9,49.4,48.2,53.9,40,22.9
Liberia,LBR,4400000,96320,,32,22.2,0.435,4.42,30.6,,3.8,855,0,15.2,128,NA,NA,NA,4,59.4,36.8,,3,3,-0.41,-1.4,-1,-0.97,-0.69,42.4,32,28.2,77.5,50.9,20,12.3
Libya,LBY,6000000,1759540,,NA,NA,0.706,5.65,NA,,55.4,8679,-6.4,NA,NA,NA,NA,NA,19.2,0,92.9,,7,6,-2.33,-1.8,-2.2,-1.78,-1.59,22.1,23.1,5.2,90.5,NA,NA,16
Liechtenstein,LIE,38000,160,,NA,NA,0.916,NA,NA,,6.1,160526,1.2,NA,NA,NA,NA,15,2.4,NA,NA,,2,1,1.5,1.8,1.5,1.67,2.06,NA,NA,NA,NA,NA,80,12
Lithuania,LTU,2900000,62680,,37.9,21,0.858,6.27,67.4,,86.1,29972,1.6,6.5,1875,4.5,742,17,9.2,63.9,34.7,,1,1,0.78,1,1.2,0.99,2.06,66.7,50.9,73.8,86.4,75.3,70,21.3
Luxembourg,LUX,600000,2586,,30.4,13.2,0.904,7.06,83.2,,59.9,104003,4.5,6,6382,4,4762,14,5.9,48.5,41.4,,1,1,1.34,1.7,1.7,1.74,1.99,77.9,79,82.7,65.1,76.4,80,28.3
Macedonia,MKD,2100000,25433,,33.7,23.4,NA,5.23,52.5,,30.3,14597,3.7,6.1,857,NA,NA,13,26.7,70.3,31.5,,4,3,-0.25,0.1,0.5,-0.24,-0.31,57,47.4,64.8,91.6,71.3,60,34.2
Madagascar,MDG,26000000,581540,,41,NA,0.519,4.08,31.1,,37.5,1505,3,5.2,77,NA,NA,11,2.1,92.9,15.4,,3,4,-0.33,-1.1,-0.7,-0.86,-1.05,21.4,17.8,33.2,90.3,56.8,50,19.2
